"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"2130",,"مستودع أومحل + 2 عامل","84144000","Warehouse or shop + 2 workers",
"2131",,"مستودع أومحل + 2 عامل","84145910","Warehouse or shop + 2 workers",
"2132",,"مستودع أومحل + 2 عامل","84148000","Warehouse or shop + 2 workers",
"2133",,"مستودع أومحل + 2 عامل","84149000","Warehouse or shop + 2 workers",
"2134","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84151010","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2135","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84152010","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2136","شريطة ألا تشكل وحدة كاملة وألا تكون للاستعمالات المنزلية لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84158210","Warehouse or shop + 2 workers + industrial facility","Provided that it does not constitute a complete unit and is not for the domestic use of an existing industrial facility that operates only under an allotment book"
"2137",,"مستودع أومحل + 2 عامل","84159090","Warehouse or shop + 2 workers",
"2138",,"مستودع أومحل + 2 عامل","84161000","Warehouse or shop + 2 workers",
"2139",,"مستودع أومحل + 2 عامل","84162000","Warehouse or shop + 2 workers",
"2140",,"مستودع أومحل + 2 عامل","84169000","Warehouse or shop + 2 workers",
"2141",,"مستودع أومحل + 2 عامل","84171000","Warehouse or shop + 2 workers",
"2142",,"مستودع أومحل + 2 عامل","84172000","Warehouse or shop + 2 workers",
"2143",,"مستودع أومحل + 2 عامل","84178000","Warehouse or shop + 2 workers",
"2144",,"مستودع أومحل + 2 عامل","84179000","Warehouse or shop + 2 workers",
"2145",,"مستودع أومحل + 2 عامل","84184010","Warehouse or shop + 2 workers",
"2146","شريطة أن تكون لمنشأة صناعية تعمل بصناعة القوارب واليخوت","مستودع أومحل + 2 عامل + منشأة صناعية","84184090","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an industrial facility that manufactures boats and yachts"
"2147","كتاب من مديرية الصناعة المعنية قائمة وتعمل وواردة بكتاب المخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84185010","Warehouse or shop + 2 workers + industrial facility","A letter from the relevant industry directorate that is up and running and included in the allocations book"
"2148","شريطة ألا تحتوي على أي نوع من أنواع مكيفات التي تستخدم بالمنازل والمكاتب وغيرها.","مستودع أومحل + 2 عامل","84186920","Warehouse or shop + 2 workers","Provided that it does not contain any type of air conditioner used in homes, offices, etc."
"2149","شريطة ألا تشكل وحدة كاملة","مستودع أومحل + 2 عامل","84186930","Warehouse or shop + 2 workers","Provided that it does not form a complete unit"
"2150",,"مستودع أومحل + 2 عامل","84186940","Warehouse or shop + 2 workers",
"2151",,"مستودع أومحل + 2 عامل","84189100","Warehouse or shop + 2 workers",
"2152","كتاب من مديرية الصناعة المعنية قائمة وتعمل وواردة بكتاب المخصصات
 السماح لكافة المستوردين باستيراد قطع تبديل برادات ومبخرات وثلاجات خارج المخصصات الصناعية شريطة ألا تشكل وحدة كاملة","مستودع أومحل + 2 عامل + منشأة صناعية","84189900","Warehouse or shop + 2 workers + industrial facility","A letter from the relevant industry directorate that is up and running and included in the allocations book
Allowing all importers to import spare parts for refrigerators, evaporators and freezers outside the industrial allocations, provided that they do not constitute a complete unit."
"2153",,"مستودع أومحل + 2 عامل","84191100","Warehouse or shop + 2 workers",
"2154",,"مستودع أومحل + 2 عامل","84191200","Warehouse or shop + 2 workers",
"2155",,"مستودع أومحل + 2 عامل","84192000","Warehouse or shop + 2 workers",
"2156","شريطة ألا تكون للاستخدامات المنزلية","مستودع أومحل + 2 عامل","84193400","Warehouse or shop + 2 workers","Provided it is not for home use"
"2157",,"مستودع أومحل + 2 عامل","84193900","Warehouse or shop + 2 workers",
"2158",,"مستودع أومحل + 2 عامل","84194000","Warehouse or shop + 2 workers",
"2159",,"مستودع أومحل + 2 عامل","84195000","Warehouse or shop + 2 workers",
"2160",,"مستودع أومحل + 2 عامل","84196000","Warehouse or shop + 2 workers",
"2161",,"مستودع أومحل + 2 عامل","84198900","Warehouse or shop + 2 workers",
"2162",,"مستودع أومحل + 2 عامل","84199010","Warehouse or shop + 2 workers",
"2163",,"مستودع أومحل + 2 عامل","84199090","Warehouse or shop + 2 workers",
"2164",,"مستودع أومحل + 2 عامل","84201010","Warehouse or shop + 2 workers",
"2165",,"مستودع أومحل + 2 عامل","84201090","Warehouse or shop + 2 workers",
"2166",,"مستودع أومحل + 2 عامل","84209100","Warehouse or shop + 2 workers",
"2167",,"مستودع أومحل + 2 عامل","84209900","Warehouse or shop + 2 workers",
"2168",,"مستودع أومحل + 2 عامل","84211100","Warehouse or shop + 2 workers",
"2169","شريطة ألا تكون للاستخدامات المنزلية","مستودع أومحل + 2 عامل","84211200","Warehouse or shop + 2 workers","Provided it is not for home use"
"2170",,"مستودع أومحل + 2 عامل","84211900","Warehouse or shop + 2 workers",
"2171",,"مستودع أومحل + 2 عامل","84212110","Warehouse or shop + 2 workers",
"2172",,"مستودع أومحل + 2 عامل","84212190","Warehouse or shop + 2 workers",
"2173",,"مستودع أومحل + 2 عامل","84212200","Warehouse or shop + 2 workers",
"2174","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84212310","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2175","شريطة أن يكون الوصف التجاري:  مصافي أو فلاتر للسيارات والآلات حصراً","مستودع أومحل + 2 عامل","84212390","Warehouse or shop + 2 workers","Provided that the commercial description is: filters or filters for cars and machinery exclusively"
"2176",,"مستودع أومحل + 2 عامل","84212900","Warehouse or shop + 2 workers",
"2177","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84213110","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2178","شريطة أن يكون الوصف التجاري:  مصافي أو فلاتر للسيارات والآلات حصراً","مستودع أومحل + 2 عامل","84213190","Warehouse or shop + 2 workers","Provided that the commercial description is: filters or filters for cars and machinery exclusively"
"2179",,"مستودع أومحل + 2 عامل","84213900","Warehouse or shop + 2 workers",
"2180",,"مستودع أومحل + 2 عامل","84219100","Warehouse or shop + 2 workers",
"2181",,"مستودع أومحل + 2 عامل","84219900","Warehouse or shop + 2 workers",
"2182","شريطة ألا تكون للاستخدام المنزلي","مستودع أومحل + 2 عامل","84222000","Warehouse or shop + 2 workers","Provided it is not for home use"
"2183",,"مستودع أومحل + 2 عامل","84223000","Warehouse or shop + 2 workers",
"2184",,"مستودع أومحل + 2 عامل","84224000","Warehouse or shop + 2 workers",
"2185","شريطة ألا تشكل وحدة كاملة","مستودع أومحل + 2 عامل","84229000","Warehouse or shop + 2 workers","Provided that it does not form a complete unit"
"2186",,"مستودع أومحل + 2 عامل","84231000","Warehouse or shop + 2 workers",
"2187",,"مستودع أومحل + 2 عامل","84232000","Warehouse or shop + 2 workers",
"2188",,"مستودع أومحل + 2 عامل","84233000","Warehouse or shop + 2 workers",
"2189",,"مستودع أومحل + 2 عامل","84238100","Warehouse or shop + 2 workers",
"2190",,"مستودع أومحل + 2 عامل","84238200","Warehouse or shop + 2 workers",
"2191",,"مستودع أومحل + 2 عامل","84238900","Warehouse or shop + 2 workers",
"2192",,"مستودع أومحل + 2 عامل","84239000","Warehouse or shop + 2 workers",
"2193",,"مستودع أومحل + 2 عامل","84241000","Warehouse or shop + 2 workers",
"2194",,"مستودع أومحل + 2 عامل","84242000","Warehouse or shop + 2 workers",
"2195",,"مستودع أومحل + 2 عامل","84243000","Warehouse or shop + 2 workers",
"2196",,"مستودع أومحل + 2 عامل","84244100","Warehouse or shop + 2 workers",
"2197",,"مستودع أومحل + 2 عامل","84244900","Warehouse or shop + 2 workers",
"2198",,"مستودع أومحل + 2 عامل","84248200","Warehouse or shop + 2 workers",
"2199","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84248900","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2200",,"مستودع أومحل + 2 عامل","84249000","Warehouse or shop + 2 workers",
"2201",,"مستودع أومحل + 2 عامل","84251100","Warehouse or shop + 2 workers",
"2202",,"مستودع أومحل + 2 عامل","84251900","Warehouse or shop + 2 workers",
"2203",,"مستودع أومحل + 2 عامل","84253100","Warehouse or shop + 2 workers",
"2204",,"مستودع أومحل + 2 عامل","84253900","Warehouse or shop + 2 workers",
"2205",,"مستودع أومحل + 2 عامل","84254100","Warehouse or shop + 2 workers",
"2206",,"مستودع أومحل + 2 عامل","84254200","Warehouse or shop + 2 workers",
"2207",,"مستودع أومحل + 2 عامل","84254900","Warehouse or shop + 2 workers",
"2208",,"مستودع أومحل + 2 عامل","84261100","Warehouse or shop + 2 workers",
"2209",,"مستودع أومحل + 2 عامل","84261200","Warehouse or shop + 2 workers",
"2210",,"مستودع أومحل + 2 عامل","84261900","Warehouse or shop + 2 workers",
"2211",,"مستودع أومحل + 2 عامل","84262000","Warehouse or shop + 2 workers",
"2212",,"مستودع أومحل + 2 عامل","84263000","Warehouse or shop + 2 workers",
"2213",,"مستودع أومحل + 2 عامل","84264100","Warehouse or shop + 2 workers",
"2214",,"مستودع أومحل + 2 عامل","84264900","Warehouse or shop + 2 workers",
"2215",,"مستودع أومحل + 2 عامل","84269100","Warehouse or shop + 2 workers",
"2216",,"مستودع أومحل + 2 عامل","84269900","Warehouse or shop + 2 workers",
"2217",,"مستودع أومحل + 2 عامل","84271000","Warehouse or shop + 2 workers",
"2218",,"مستودع أومحل + 2 عامل","84272000","Warehouse or shop + 2 workers",
"2219",,"مستودع أومحل + 2 عامل","84279000","Warehouse or shop + 2 workers",
"2220",,"مستودع أومحل + 2 عامل","84281000","Warehouse or shop + 2 workers",
"2221",,"مستودع أومحل + 2 عامل","84282000","Warehouse or shop + 2 workers",
"2222",,"مستودع أومحل + 2 عامل","84283100","Warehouse or shop + 2 workers",
"2223",,"مستودع أومحل + 2 عامل","84283200","Warehouse or shop + 2 workers",
"2224",,"مستودع أومحل + 2 عامل","84283300","Warehouse or shop + 2 workers",
"2225",,"مستودع أومحل + 2 عامل","84283900","Warehouse or shop + 2 workers",
"2226",,"مستودع أومحل + 2 عامل","84284000","Warehouse or shop + 2 workers",
"2227",,"مستودع أومحل + 2 عامل","84289000","Warehouse or shop + 2 workers",
"2228",,"مستودع أومحل + 2 عامل","84291100","Warehouse or shop + 2 workers",
"2229",,"مستودع أومحل + 2 عامل","84291900","Warehouse or shop + 2 workers",
"2230",,"مستودع أومحل + 2 عامل","84292000","Warehouse or shop + 2 workers",
"2231",,"مستودع أومحل + 2 عامل","84293000","Warehouse or shop + 2 workers",
"2232",,"مستودع أومحل + 2 عامل","84294000","Warehouse or shop + 2 workers",
"2233",,"مستودع أومحل + 2 عامل","84295100","Warehouse or shop + 2 workers",
"2234",,"مستودع أومحل + 2 عامل","84295200","Warehouse or shop + 2 workers",
"2235",,"مستودع أومحل + 2 عامل","84295900","Warehouse or shop + 2 workers",
"2236",,"مستودع أومحل + 2 عامل","84301000","Warehouse or shop + 2 workers",
"2237",,"مستودع أومحل + 2 عامل","84302000","Warehouse or shop + 2 workers",
"2238",,"مستودع أومحل + 2 عامل","84303100","Warehouse or shop + 2 workers",
"2239",,"مستودع أومحل + 2 عامل","84303900","Warehouse or shop + 2 workers",
"2240",,"مستودع أومحل + 2 عامل","84304100","Warehouse or shop + 2 workers",
"2241",,"مستودع أومحل + 2 عامل","84304900","Warehouse or shop + 2 workers",
"2242",,"مستودع أومحل + 2 عامل","84305000","Warehouse or shop + 2 workers",
"2243",,"مستودع أومحل + 2 عامل","84306100","Warehouse or shop + 2 workers",
"2244",,"مستودع أومحل + 2 عامل","84306900","Warehouse or shop + 2 workers",
"2245",,"مستودع أومحل + 2 عامل","84311000","Warehouse or shop + 2 workers",
"2246",,"مستودع أومحل + 2 عامل","84312000","Warehouse or shop + 2 workers",
"2247",,"مستودع أومحل + 2 عامل","84313100","Warehouse or shop + 2 workers",
"2248",,"مستودع أومحل + 2 عامل","84313900","Warehouse or shop + 2 workers",
"2249",,"مستودع أومحل + 2 عامل","84314100","Warehouse or shop + 2 workers",
"2250",,"مستودع أومحل + 2 عامل","84314200","Warehouse or shop + 2 workers",
"2251",,"مستودع أومحل + 2 عامل","84314300","Warehouse or shop + 2 workers",
"2252",,"مستودع أومحل + 2 عامل","84314900","Warehouse or shop + 2 workers",
"2253",,"مستودع أومحل + 2 عامل","84321000","Warehouse or shop + 2 workers",
"2254",,"مستودع أومحل + 2 عامل","84322100","Warehouse or shop + 2 workers",
"2255",,"مستودع أومحل + 2 عامل","84322900","Warehouse or shop + 2 workers",
"2256",,"مستودع أومحل + 2 عامل","84323100","Warehouse or shop + 2 workers",
"2257",,"مستودع أومحل + 2 عامل","84323900","Warehouse or shop + 2 workers",
"2258",,"مستودع أومحل + 2 عامل","84324100","Warehouse or shop + 2 workers",
"2259",,"مستودع أومحل + 2 عامل","84328000","Warehouse or shop + 2 workers",
"2260",,"مستودع أومحل + 2 عامل","84329000","Warehouse or shop + 2 workers",
"2261",,"مستودع أومحل + 2 عامل","84331100","Warehouse or shop + 2 workers",
"2262",,"مستودع أومحل + 2 عامل","84331900","Warehouse or shop + 2 workers",
"2263",,"مستودع أومحل + 2 عامل","84332000","Warehouse or shop + 2 workers",
"2264",,"مستودع أومحل + 2 عامل","84333000","Warehouse or shop + 2 workers",
"2265",,"مستودع أومحل + 2 عامل","84334000","Warehouse or shop + 2 workers",
"2266",,"مستودع أومحل + 2 عامل","84335100","Warehouse or shop + 2 workers",
"2267",,"مستودع أومحل + 2 عامل","84335200","Warehouse or shop + 2 workers",
"2268",,"مستودع أومحل + 2 عامل","84335300","Warehouse or shop + 2 workers",
"2269",,"مستودع أومحل + 2 عامل","84335900","Warehouse or shop + 2 workers",
"2270",,"مستودع أومحل + 2 عامل","84336000","Warehouse or shop + 2 workers",
"2271",,"مستودع أومحل + 2 عامل","84339000","Warehouse or shop + 2 workers",
"2272",,"مستودع أومحل + 2 عامل","84341000","Warehouse or shop + 2 workers",
"2273",,"مستودع أومحل + 2 عامل","84342000","Warehouse or shop + 2 workers",
"2274","شريطة أن لاتكون عصارات فواكه للاستعمال المنزلي","مستودع أومحل + 2 عامل","84349000","Warehouse or shop + 2 workers","Provided that they are not fruit juicers for home use"
"2275",,"مستودع أومحل + 2 عامل","84359000","Warehouse or shop + 2 workers",
"2276",,"مستودع أومحل + 2 عامل","84361000","Warehouse or shop + 2 workers",
"2277",,"مستودع أومحل + 2 عامل","84362100","Warehouse or shop + 2 workers",
"2278",,"مستودع أومحل + 2 عامل","84362900","Warehouse or shop + 2 workers",
"2279",,"مستودع أومحل + 2 عامل","84368000","Warehouse or shop + 2 workers",
"2280",,"مستودع أومحل + 2 عامل","84369100","Warehouse or shop + 2 workers",
"2281",,"مستودع أومحل + 2 عامل","84369900","Warehouse or shop + 2 workers",
"2282",,"مستودع أومحل + 2 عامل","84371000","Warehouse or shop + 2 workers",
"2283",,"مستودع أومحل + 2 عامل","84378000","Warehouse or shop + 2 workers",
"2284",,"مستودع أومحل + 2 عامل","84379000","Warehouse or shop + 2 workers",
"2285",,"مستودع أومحل + 2 عامل","84381000","Warehouse or shop + 2 workers",
"2286",,"مستودع أومحل + 2 عامل","84382000","Warehouse or shop + 2 workers",
"2287",,"مستودع أومحل + 2 عامل","84383000","Warehouse or shop + 2 workers",
"2288",,"مستودع أومحل + 2 عامل","84384000","Warehouse or shop + 2 workers",
"2289",,"مستودع أومحل + 2 عامل","84385000","Warehouse or shop + 2 workers",
"2290","الوصف التجاري: خطوط إنتاج لتقطيع وغسيل الخضراوات","مستودع أومحل + 2 عامل","84386000","Warehouse or shop + 2 workers","Commercial description: Production lines for cutting and washing vegetables"
"2291",,"مستودع أومحل + 2 عامل","84388000","Warehouse or shop + 2 workers",
"2292",,"مستودع أومحل + 2 عامل","84389000","Warehouse or shop + 2 workers",
"2293",,"مستودع أومحل + 2 عامل","84391000","Warehouse or shop + 2 workers",
"2294",,"مستودع أومحل + 2 عامل","84392000","Warehouse or shop + 2 workers",
"2295",,"مستودع أومحل + 2 عامل","84393000","Warehouse or shop + 2 workers",
"2296",,"مستودع أومحل + 2 عامل","84399100","Warehouse or shop + 2 workers",
"2297",,"مستودع أومحل + 2 عامل","84399900","Warehouse or shop + 2 workers",
"2298",,"مستودع أومحل + 2 عامل","84401000","Warehouse or shop + 2 workers",
"2299",,"مستودع أومحل + 2 عامل","84409000","Warehouse or shop + 2 workers",
"2300",,"مستودع أومحل + 2 عامل","84411000","Warehouse or shop + 2 workers",
"2301",,"مستودع أومحل + 2 عامل","84412000","Warehouse or shop + 2 workers",
"2302",,"مستودع أومحل + 2 عامل","84413000","Warehouse or shop + 2 workers",
"2303",,"مستودع أومحل + 2 عامل","84414000","Warehouse or shop + 2 workers",
"2304",,"مستودع أومحل + 2 عامل","84418000","Warehouse or shop + 2 workers",
"2305",,"مستودع أومحل + 2 عامل","84419000","Warehouse or shop + 2 workers",
"2306",,"مستودع أومحل + 2 عامل","84423000","Warehouse or shop + 2 workers",
"2307",,"مستودع أومحل + 2 عامل","84424000","Warehouse or shop + 2 workers",
"2308",,"مستودع أومحل + 2 عامل","84425000","Warehouse or shop + 2 workers",
"2309",,"مستودع أومحل + 2 عامل","84431100","Warehouse or shop + 2 workers",
"2310",,"مستودع أومحل + 2 عامل","84431200","Warehouse or shop + 2 workers",
"2311",,"مستودع أومحل + 2 عامل","84431300","Warehouse or shop + 2 workers",
"2312",,"مستودع أومحل + 2 عامل","84431400","Warehouse or shop + 2 workers",
"2313",,"مستودع أومحل + 2 عامل","84431600","Warehouse or shop + 2 workers",
"2314",,"مستودع أومحل + 2 عامل","84431700","Warehouse or shop + 2 workers",
"2315",,"مستودع أومحل + 2 عامل","84431900","Warehouse or shop + 2 workers",
"2316",,"مستودع أومحل + 2 عامل","84433100","Warehouse or shop + 2 workers",
"2317",,"مستودع أومحل + 2 عامل","84433210","Warehouse or shop + 2 workers",
"2318",,"مستودع أومحل + 2 عامل","84433220","Warehouse or shop + 2 workers",
"2319",,"مستودع أومحل + 2 عامل","84433230","Warehouse or shop + 2 workers",
"2320","شريطة أن يكون الوصف التجاري:  آلات استنساخ أو آلات فاكس أوطابعات حصراً","مستودع أومحل + 2 عامل","84433900","Warehouse or shop + 2 workers","Provided that the commercial description is exclusively: copiers, fax machines or printers"
"2321",,"مستودع أومحل + 2 عامل","84439100","Warehouse or shop + 2 workers",
"2322","شريطة أن تكون أجزاء حصراً ولا تشكل وحدة كاملة","مستودع أومحل + 2 عامل","84439900","Warehouse or shop + 2 workers","Provided that they are exclusively parts and do not constitute a complete unit"
"2323",,"مستودع أومحل + 2 عامل","84440000","Warehouse or shop + 2 workers",
"2324",,"مستودع أومحل + 2 عامل","84451100","Warehouse or shop + 2 workers",
"2325",,"مستودع أومحل + 2 عامل","84451200","Warehouse or shop + 2 workers",
"2326",,"مستودع أومحل + 2 عامل","84451900","Warehouse or shop + 2 workers",
"2327",,"مستودع أومحل + 2 عامل","84452000","Warehouse or shop + 2 workers",
"2328",,"مستودع أومحل + 2 عامل","84453000","Warehouse or shop + 2 workers",
"2329",,"مستودع أومحل + 2 عامل","84454000","Warehouse or shop + 2 workers",
"2330",,"مستودع أومحل + 2 عامل","84459000","Warehouse or shop + 2 workers",
"2331",,"مستودع أومحل + 2 عامل","84461000","Warehouse or shop + 2 workers",
"2332",,"مستودع أومحل + 2 عامل","84462100","Warehouse or shop + 2 workers",
"2333",,"مستودع أومحل + 2 عامل","84462900","Warehouse or shop + 2 workers",
"2334",,"مستودع أومحل + 2 عامل","84463000","Warehouse or shop + 2 workers",
"2335",,"مستودع أومحل + 2 عامل","84471100","Warehouse or shop + 2 workers",
"2336",,"مستودع أومحل + 2 عامل","84471200","Warehouse or shop + 2 workers",
"2337",,"مستودع أومحل + 2 عامل","84472000","Warehouse or shop + 2 workers",
"2338",,"مستودع أومحل + 2 عامل","84479000","Warehouse or shop + 2 workers",
"2339",,"مستودع أومحل + 2 عامل","84481100","Warehouse or shop + 2 workers",
"2340",,"مستودع أومحل + 2 عامل","84481900","Warehouse or shop + 2 workers",
"2341",,"مستودع أومحل + 2 عامل","84482000","Warehouse or shop + 2 workers",
"2342",,"مستودع أومحل + 2 عامل","84483300","Warehouse or shop + 2 workers",
"2343",,"مستودع أومحل + 2 عامل","84483900","Warehouse or shop + 2 workers",
"2344",,"مستودع أومحل + 2 عامل","84484900","Warehouse or shop + 2 workers",
"2345",,"مستودع أومحل + 2 عامل","84485100","Warehouse or shop + 2 workers",
"2346",,"مستودع أومحل + 2 عامل","84485900","Warehouse or shop + 2 workers",
"2347",,"مستودع أومحل + 2 عامل","84490000","Warehouse or shop + 2 workers",
"2348","شريطة ان لا تشكل وحدة كاملة","مستودع أومحل + 2 عامل","84509000","Warehouse or shop + 2 workers","Provided that it does not form a complete unit"
"2349","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84511000","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2350","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84512900","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter"
"2351",,"مستودع أومحل + 2 عامل","84513010","Warehouse or shop + 2 workers",
"2352","شريطة أن تكون لمنشأة صناعية قائمة وتعمل","مستودع أومحل + 2 عامل + منشأة صناعية","84514000","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and operating industrial facility"
"2353",,"مستودع أومحل + 2 عامل","84515000","Warehouse or shop + 2 workers",
"2354",,"مستودع أومحل + 2 عامل","84518010","Warehouse or shop + 2 workers",
"2355","شريطة أن تكون للاستخدام الصناعي لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","84518090","Warehouse or shop + 2 workers + industrial facility","Provided that it is for the industrial use of an existing and operating industrial facility only and in accordance with an allocations letter"
"2356",,"مستودع أومحل + 2 عامل","84519000","Warehouse or shop + 2 workers",
"2357",,"مستودع أومحل + 2 عامل","84521000","Warehouse or shop + 2 workers",
"2358",,"مستودع أومحل + 2 عامل","84522100","Warehouse or shop + 2 workers",
"2359",,"مستودع أومحل + 2 عامل","84522900","Warehouse or shop + 2 workers",
"2360",,"مستودع أومحل + 2 عامل","84523000","Warehouse or shop + 2 workers",
"2361",,"مستودع أومحل + 2 عامل","84529000","Warehouse or shop + 2 workers",
"2362",,"مستودع أومحل + 2 عامل","84531000","Warehouse or shop + 2 workers",
"2363",,"مستودع أومحل + 2 عامل","84532000","Warehouse or shop + 2 workers",
"2364",,"مستودع أومحل + 2 عامل","84538000","Warehouse or shop + 2 workers",
"2365",,"مستودع أومحل + 2 عامل","84539000","Warehouse or shop + 2 workers",
"2366",,"مستودع أومحل + 2 عامل","84541000","Warehouse or shop + 2 workers",
"2367",,"مستودع أومحل + 2 عامل","84542000","Warehouse or shop + 2 workers",
"2368",,"مستودع أومحل + 2 عامل","84543000","Warehouse or shop + 2 workers",
"2369",,"مستودع أومحل + 2 عامل","84549000","Warehouse or shop + 2 workers",
"2370",,"مستودع أومحل + 2 عامل","84551000","Warehouse or shop + 2 workers",
"2371",,"مستودع أومحل + 2 عامل","84552100","Warehouse or shop + 2 workers",
"2372",,"مستودع أومحل + 2 عامل","84552200","Warehouse or shop + 2 workers",
"2373",,"مستودع أومحل + 2 عامل","84553000","Warehouse or shop + 2 workers",
"2374",,"مستودع أومحل + 2 عامل","84559000","Warehouse or shop + 2 workers",
"2375",,"مستودع أومحل + 2 عامل","84561100","Warehouse or shop + 2 workers",
"2376",,"مستودع أومحل + 2 عامل","84562000","Warehouse or shop + 2 workers",
"2377",,"مستودع أومحل + 2 عامل","84563000","Warehouse or shop + 2 workers",
"2378",,"مستودع أومحل + 2 عامل","84564000","Warehouse or shop + 2 workers",
"2379",,"مستودع أومحل + 2 عامل","84565000","Warehouse or shop + 2 workers",
"2380",,"مستودع أومحل + 2 عامل","84569000","Warehouse or shop + 2 workers",
"2381",,"مستودع أومحل + 2 عامل","84571000","Warehouse or shop + 2 workers",
"2382",,"مستودع أومحل + 2 عامل","84572000","Warehouse or shop + 2 workers",
"2383",,"مستودع أومحل + 2 عامل","84573000","Warehouse or shop + 2 workers",
"2384",,"مستودع أومحل + 2 عامل","84581100","Warehouse or shop + 2 workers",
"2385",,"مستودع أومحل + 2 عامل","84581900","Warehouse or shop + 2 workers",
"2386",,"مستودع أومحل + 2 عامل","84589100","Warehouse or shop + 2 workers",
"2387",,"مستودع أومحل + 2 عامل","84589900","Warehouse or shop + 2 workers",
"2388",,"مستودع أومحل + 2 عامل","84591000","Warehouse or shop + 2 workers",
"2389",,"مستودع أومحل + 2 عامل","84592100","Warehouse or shop + 2 workers",
"2390",,"مستودع أومحل + 2 عامل","84592900","Warehouse or shop + 2 workers",
"2391",,"مستودع أومحل + 2 عامل","84593100","Warehouse or shop + 2 workers",
"2392",,"مستودع أومحل + 2 عامل","84593900","Warehouse or shop + 2 workers",
"2393",,"مستودع أومحل + 2 عامل","84594900","Warehouse or shop + 2 workers",
"2394",,"مستودع أومحل + 2 عامل","84595100","Warehouse or shop + 2 workers",
"2395",,"مستودع أومحل + 2 عامل","84595900","Warehouse or shop + 2 workers",
"2396",,"مستودع أومحل + 2 عامل","84596100","Warehouse or shop + 2 workers",
"2397",,"مستودع أومحل + 2 عامل","84596900","Warehouse or shop + 2 workers",
"2398",,"مستودع أومحل + 2 عامل","84597000","Warehouse or shop + 2 workers",
"2399",,"مستودع أومحل + 2 عامل","84601200","Warehouse or shop + 2 workers",
"2400","شريطة أن يكون الوصف التجاري:  آلات شحذ حصراً","مستودع أومحل + 2 عامل","84601900","Warehouse or shop + 2 workers","Provided that the commercial description: exclusively sharpening machines"
"2401",,"مستودع أومحل + 2 عامل","84602400","Warehouse or shop + 2 workers",
"2402","شريطة أن يكون الوصف التجاري:  آلات شحذ حصراً","مستودع أومحل + 2 عامل","84602900","Warehouse or shop + 2 workers","Provided that the commercial description: exclusively sharpening machines"
"2403",,"مستودع أومحل + 2 عامل","84603100","Warehouse or shop + 2 workers",
"2404",,"مستودع أومحل + 2 عامل","84603900","Warehouse or shop + 2 workers",
"2405",,"مستودع أومحل + 2 عامل","84604000","Warehouse or shop + 2 workers",
"2406",,"مستودع أومحل + 2 عامل","84609000","Warehouse or shop + 2 workers",
"2407",,"مستودع أومحل + 2 عامل","84612000","Warehouse or shop + 2 workers",
"2408",,"مستودع أومحل + 2 عامل","84613000","Warehouse or shop + 2 workers",
"2409",,"مستودع أومحل + 2 عامل","84614000","Warehouse or shop + 2 workers",
"2410",,"مستودع أومحل + 2 عامل","84615000","Warehouse or shop + 2 workers",
"2411",,"مستودع أومحل + 2 عامل","84619000","Warehouse or shop + 2 workers",
"2412",,"مستودع أومحل + 2 عامل","84621100","Warehouse or shop + 2 workers",
"2413",,"مستودع أومحل + 2 عامل","84621900","Warehouse or shop + 2 workers",
"2414",,"مستودع أومحل + 2 عامل","84622200","Warehouse or shop + 2 workers",
"2415",,"مستودع أومحل + 2 عامل","84622300","Warehouse or shop + 2 workers",
"2416",,"مستودع أومحل + 2 عامل","84622400","Warehouse or shop + 2 workers",
